index, isfixed(bool), pos.x,pos.y,pos.z
0,1,-0.566,-4.986,-6.574
1,1,0.633,-4.82,2.993
2,1,10.229,-4.929,-4.561
3,1,2.813,10.093,3.795
4,1,4.294,10.062,-6.327
5,1,5.637,3.178,-0.522
6,1,8.981,10.724,5.652
7,1,9.07,-4.833,3.936
8,1,9.646,14.113,-3.093
0,1,0,100,100
1,1,0,600,100
2,1,0,100,600
3,1,0,600,600
4,1,100,19,100
5,1,100,19,600
6,1,100,100,700
7,1,100,600,700
8,1,600,19,100
9,1,600,19,600
10,1,600,100,700
11,1,600,600,700
12,1,700,100,100
13,1,700,600,100
14,1,700,100,600
15,1,700,600,600
16,1,350,267.25,437.5
